name,DR2_desig,RA_J2000,DEC_J2000,D,e_D,Pmem,J,e_J,K,e_K,rprime,e_rprime,G,e_G,BP,RP,binary,Prot,SingleFlagD19,Gaia_desig_EDR3,Gaia_desig_DR2,tail?,G_EDR3,G_DR2,note
2MASS J05451367+7703202,Gaia DR2 504271599124398464,86.306986,77.055634,216.666,2.894,999.0,nan,nan,12.924,0.025,16.792,0.0078,16.3841,0.0008,17.7012,15.2865,0,nan,nan,Gaia EDR3 504271599124398464,Gaia DR2 504271599124398464,1,16.392023,16.384075,nan
2MASS J08042217+1600270,Gaia DR2 655146893925330816,121.092378,16.007524,213.409,4.056,999.0,nan,nan,13.05,0.026,16.99,0.09,16.4889,0.0009,17.8261,15.3846,0,nan,nan,Gaia EDR3 655146893925330816,Gaia DR2 655146893925330816,1,16.495453,16.48885,nan
2MASS J08071221+6240258,Gaia DR2 1091089819680643200,121.800895,62.673843,176.087,1.185,999.0,nan,nan,10.557,0.018,12.667,0.096,12.7733,0.0004,13.3978,12.0762,0,nan,nan,Gaia EDR3 1091089819680643200,Gaia DR2 1091089819680643200,1,12.784296,12.77329787,nan
2MASS J08084531+2518128,Gaia DR2 681114502418610688,122.18883,25.303558,176.387,6.314,999.0,nan,nan,13.619,0.035,18.5377,0.0085,17.6796,0.0018,19.4318,16.4032,0,nan,nan,Gaia EDR3 681114502418610688,Gaia DR2 681114502418610688,1,17.676804,17.679615,nan
2MASS J08094862+3838584,Gaia DR2 908834566101511552,122.452623,38.649559,172.126,2.706,999.0,nan,nan,12.735,0.027,16.675,0.09,16.5276,0.0013,18.094,15.331,0,nan,nan,Gaia EDR3 908834566101511552,Gaia DR2 908834566101511552,1,16.533356,16.527553,nan
2MASS J08100303+2532440,Gaia DR2 681144777643959296,122.51263,25.545572,200.976,2.055,999.0,nan,nan,12.09,0.018,15.7735,0.005,15.4296,0.0007,16.6356,14.378,0,nan,nan,Gaia EDR3 681144777643959296,Gaia DR2 681144777643959296,1,15.439158,15.42961536,nan
2MASS J08105733+1631414,Gaia DR2 656465036568844672,122.73891,16.528177,178.622,1.649,999.0,nan,nan,11.673,0.021,15.14,0.061,14.8601,0.0005,15.9759,13.8531,0,nan,nan,Gaia EDR3 656465036568844672,Gaia DR2 656465036568844672,0,14.866352,14.8601206,nan
2MASS J08111649+1602260,Gaia DR2 655683799197577344,122.818737,16.040569,207.662,1.579,999.0,nan,nan,10.56,0.019,12.364,0.02,12.4089,0.0005,12.9128,11.813,0,nan,nan,Gaia EDR3 655683799197577344,Gaia DR2 655683799197577344,1,12.420943,12.40892959,nan
2MASS J08111964+1946357,Gaia DR2 669616432586758400,122.831839,19.7766,188.255,5.047,999.0,nan,nan,13.336,0.029,18.4678,0.0083,17.5168,0.0015,19.4271,16.2157,0,nan,nan,Gaia EDR3 669616432586758400,Gaia DR2 669616432586758400,0,17.517452,17.516794,nan
2MASS J08113648+4000458,Gaia DR2 909477608604981888,122.902029,40.012737,124.402,0.631,999.0,nan,nan,11.126,0.018,14.816,0.02,14.4862,0.0004,15.7017,13.4372,0,nan,nan,Gaia EDR3 909477608604981888,Gaia DR2 909477608604981888,1,14.494639,14.48619101,nan
2MASS J08114665+1740114,Gaia DR2 656873230260202368,122.94438,17.669842,222.662,5.189,999.0,nan,nan,13.126,0.038,17.709,0.09,16.9357,0.0014,18.4884,15.7239,0,nan,nan,Gaia EDR3 656873230260202368,Gaia DR2 656873230260202368,1,16.937275,16.935669,nan
2MASS J08120440+1602373,Gaia DR2 655681565814562560,123.018337,16.04372,199.037,5.832,999.0,nan,nan,13.56,0.043,17.984,0.0068,17.3299,0.0014,18.8901,16.1347,0,nan,nan,Gaia EDR3 655681565814562560,Gaia DR2 655681565814562560,1,17.330883,17.3299,nan
2MASS J08123580+2056387,Gaia DR2 675931030944290560,123.149179,20.944111,187.839,6.294,999.0,nan,nan,13.799,0.046,18.8118,0.0097,17.8592,0.0016,19.6527,16.5573,0,nan,nan,Gaia EDR3 675931030944290560,Gaia DR2 675931030944290560,0,17.862555,17.859161,nan
2MASS J08124345+1225211,Gaia DR2 649907446141414912,123.181051,12.422546,190.525,1.746,999.0,nan,nan,10.301,0.018,12.129,0.019,12.1534,0.0004,12.6559,11.5548,0,nan,nan,Gaia EDR3 649907446141414912,Gaia DR2 649907446141414912,1,12.163678,12.15337299,nan
2MASS J08125049+2318388,Gaia DR2 677568169398708608,123.210381,23.310804,189.105,1.085,999.0,nan,nan,11.096,0.019,13.828,0.02,13.7841,0.0003,14.6016,12.948,0,nan,nan,Gaia EDR3 677568169398708608,Gaia DR2 677568169398708608,0,13.795949,13.78409194,nan
2MASS J08125259+2449380,Gaia DR2 680861893918177024,123.219149,24.827244,196.537,4.214,999.0,nan,nan,12.943,0.024,17.6499,0.0056,16.9085,0.0014,18.6662,15.6608,0,nan,nan,Gaia EDR3 680861893918177024,Gaia DR2 680861893918177024,1,16.909067,16.908454,nan
2MASS J08130529+1823336,Gaia DR2 657311660522179712,123.272067,18.392668,209.216,8.578,999.0,nan,nan,13.393,0.031,18.2777,0.0082,17.4235,0.0017,19.0082,16.1508,0,nan,nan,Gaia EDR3 657311660522179712,Gaia DR2 657311660522179712,1,17.412987,17.423536,nan
