name ra dec
AD0738 126.354301 20.221598
AD1427 127.745537 18.694736
AD1660 128.186714 18.03616
AD2354 129.45468 17.25502
AD2595 129.90435 17.788853
AD3411 131.359619 19.784449
AD3663 132.136301 16.939907
EPIC211885995 132.361513 18.522108
EPIC211998192 132.204711 20.224222
EPIC212011416 128.285247 20.443684
EPIC212127087 132.061519 22.558996
HSHJ300 130.047752 20.067583
JS46 128.461577 19.782969
JS113 129.047649 19.877872
JS117 129.064724 20.686056
JS119 129.066275 20.120268
JS148 129.203994 19.316486
JS169 129.302545 20.544838
JS174 129.332957 19.053329
JS178 129.350803 19.417004
JS181 129.368564 20.607946
JS187 129.385116 19.521685
JS191 129.396051 20.224049
JS200 129.457608 19.514118
JS230 129.605728 18.941669
JS232 129.615537 19.765469
JS246 129.683059 19.29398
JS301 129.901894 19.485531
JS317 129.944037 19.217806
JS318 129.963698 20.580547
JS352 130.082612 18.927305
JS355 130.09238 18.123583
JS364 130.117638 18.935839
JS373 130.157888 20.338303
JS394 130.224274 19.378904
JS405 130.272173 20.47348
JS415 130.293834 18.268627
JS430 130.351928 20.130444
JS432 130.350747 18.234079
JS452 130.432871 19.302284
JS468 130.497296 19.745892
JS488 130.633583 18.59116
JS505 130.707022 18.859756
JS513 130.772026 19.465176
JS533 130.854225 20.565353
JS541 130.897339 19.003941
JS545 130.936425 21.209547
JS550 130.936402 19.066336
JS552 130.961909 20.365768
JS582 131.235162 18.371424
JS620 131.542086 19.528849
JS649 131.894528 19.138311
JS689 129.059546 19.425087
KW564 129.810559 20.021996
KW569 129.904826 19.816132
