name,simbad_index,desig_gaia_dr2,desig_2mass,pm_index,absK,absG,apparentK,BP-RP,M/Ms,ra,de,age
AD 0738,51,Gaia DR2 663805754152866688,2MASS J08252503+2013177,92,5.542415424,9.022315424,11.931,2.3687,0.542473742,08h25m25.02s,20d13m17.8s,0.8
AD 1427,49,Gaia DR2 662665629314342272,2MASS J08305892+1841410,187,5.243087256,8.331887256,11.594,2.0062,0.58998615,08h30m58.92s,18d41m41.1s,0.8
AD 1660,22,Gaia DR2 659571844111412224,2MASS J08324481+1802101,229,5.640972412,9.406372412,11.747,2.6368,0.526829776,08h32m44.8s,18d2m10.2s,0.8
AD 2354,41,Gaia DR2 659228074929597440,2MASS J08374912+1715180,569,5.060288863,8.153588863,11.39,1.9759,0.622168729,08h37m49.11s,17d15m18.0s,0.8
AD 2595,12,Gaia DR2 659373141744409984,2MASS J08393704+1747198,777,5.24268746,8.36538746,11.602,2.0413,0.590049609,08h39m37.03s,17d47m19.9s,0.8
AD 3411,17,Gaia DR2 661170637096984960,2MASS J08452630+1947040,1351,5.477019778,9.108619778,11.72,2.5756,0.552854004,08h45m26.3s,19d47m3.9s,0.8
AD 3663,48,Gaia DR2 658276035297795328,2MASS J08483271+1656236,1474,5.065529282,8.458329282,11.468,2.2233,0.621198281,08h48m32.7s,16d56m23.6s,0.8
EPIC211885995,1,Gaia DR2 660210522927784576,2MASS J08492676+1831195,1496,5.038720426,8.229420426,11.394,2.0421,0.626162884,08h49m26.76s,18d31m19.5s,0.8
EPIC211998192,33,Gaia DR2 661573608108602752,2MASS J08484913+2013271,1479,5.487329956,8.787129956,11.827,2.1946,0.551217467,08h48m49.13s,20d13m27.2s,0.8
EPIC212011416,34,Gaia DR2 663131856604384384,2MASS J08330845+2026372,250,5.837972412,9.670472412,11.944,2.7494,0.495488321,08h33m8.45s,20d26m37.2s,0.8
EPIC212127087,24,Gaia DR2 689130461877120256,2MASS J08481476+2233323,1465,5.439926504,8.738226504,11.652,2.1894,0.558741825,08h48m14.76s,22d33m32.4s,0.8
HSHJ300,27,Gaia DR2 661325255921404288,2MASS J08401146+2004032,856,5.737972412,9.572572412,11.844,2.7409,0.511432951,08h40m11.45s,20d4m3.3s,0.8
JS 46,18,Gaia DR2 662861136225126016,2MASS J08335077+1946586,292,5.341209369,8.481609369,11.725,2.072,0.574411211,08h33m50.76s,19d46m58.6s,0.8
JS113,19,Gaia DR2 664352245791631488,2MASS J08361143+1952403,415,5.339601134,8.451701134,11.659,2.0225,0.574666487,08h36m11.43s,19d52m40.3s,0.8
JS117,50,Gaia DR2 664605270904832768,2MASS J08361553+2041098,421,5.222475858,8.388675858,11.634,2.0638,0.5932578,08h36m15.53s,20d41m9.8s,0.8
JS119,30,Gaia DR2 664366024046570112,2MASS J08361590+2007129,422,5.384776454,8.529476454,11.753,2.0679,0.567495801,08h36m15.89s,20d7m12.9s,0.8
JS148,36,Gaia DR2 659774394768991744,2MASS J08364895+1918593,471,5.600454835,9.109854835,11.949,2.4303,0.533261137,08h36m48.95s,19d18m59.3s,0.8
JS169,2,Gaia DR2 664417494934591488,2MASS J08371261+2032414,509,5.053127353,7.801027353,11.371,1.8061,0.623494935,08h37m12.6s,20d32m41.4s,0.8
JS174,25,Gaia DR2 659749861915865216,2MASS J08371990+1903119,515,5.427052967,9.007152967,11.829,2.4834,0.560785243,08h37m19.91s,19d3m11.9s,0.8
JS178,46,Gaia DR2 659777074828577024,2MASS J08372419+1925012,521,5.198287595,8.609887595,11.536,2.3451,0.597097207,08h37m24.18s,19d25m1.2s,0.8
JS181,4,Gaia DR2 664419556518886272,2MASS J08372845+2036286,534,5.253650108,8.483850108,11.491,2.1015,0.588309507,08h37m28.46s,20d36m28.5s,0.8
JS187,26,Gaia DR2 664281396011231744,2MASS J08373242+1931180,542,5.429580975,8.884080975,11.787,2.3128,0.560383972,08h37m32.42s,19d31m18.0s,0.8
JS191,40,Gaia DR2 664388357876585344,2MASS J08373505+2013265,548,4.934094513,8.217194513,11.356,2.1784,0.645538053,08h37m35.05s,20d13m26.5s,0.8
JS200,31,Gaia DR2 661279042073291776,2MASS J08374982+1930508,572,5.395325478,8.618125478,11.78,2.1482,0.565821353,08h37m49.82s,19d30m50.8s,0.8
JS230,16,Gaia DR2 659696982278606080,2MASS J08382537+1856300,633,5.446876883,9.132676883,11.725,2.5973,0.55763859,08h38m25.37s,18d56m30.0s,0.8
JS232,32,Gaia DR2 664292322407994624,2MASS J08382772+1945556,636,5.307800526,8.716700526,11.765,2.2901,0.579714202,08h38m27.73s,19d45m55.7s,0.8
JS246,38,Gaia DR2 661260144217277568,2MASS J08384393+1917383,667,5.854972412,9.568072412,11.961,2.6613,0.492746385,08h38m43.92s,19d17m38.3s,0.8
JS301,42,Gaia DR2 661270486498500352,2MASS J08393645+1929079,776,5.052361306,8.081761306,11.391,1.9059,0.623636795,08h39m36.45s,19d29m7.9s,0.8
JS317,7,Gaia DR2 661209566682500736,2MASS J08394656+1913041,797,5.084105795,8.195205795,11.506,1.9956,0.617758186,08h39m46.56s,19d13m4.0s,0.8
JS318,10,Gaia DR2 664453778817920256,2MASS J08395128+2034499,807,5.291783226,8.783583226,11.589,2.2799,0.582256631,08h39m51.28s,20d34m49.9s,0.8
