name,desig_2mass,desig_gaia_dr2
AD 1427,2MASS J08492676+1831195,Gaia DR2 660210522927784576
AD 2354,2MASS J08371261+2032414,Gaia DR2 664417494934591488
AD 2595,2MASS J08393715+1948580,Gaia DR2 661314570042801280
AD 3663,2MASS J08372845+2036286,Gaia DR2 664419556518886272
EPIC211885995,2MASS J08412417+1814026,Gaia DR2 659411796450014464
HSHJ510,2MASS J08491651+2135121,Gaia DR2 662003860752394880
JS117,2MASS J08394656+1913041,Gaia DR2 661209566682500736
JS169,2MASS J08401982+1855382,Gaia DR2 661186373859208832
JS178,2MASS J08435085+2021567,Gaia DR2 661441494914973184
JS181,2MASS J08395128+2034499,Gaia DR2 664453778817920256
JS191,2MASS J08445643+1822171,Gaia DR2 660158674082552320
JS301,2MASS J08393704+1747198,Gaia DR2 659373141744409984
JS317,2MASS J08405382+1922440,Gaia DR2 661238635021126656
JS318,2MASS J08412446+2007495,Gaia DR2 661417305659127296
JS352,2MASS J08414388+1918082,Gaia DR2 661222073627319296
JS355,2MASS J08382537+1856300,Gaia DR2 659696982278606080
JS373,2MASS J08452630+1947040,Gaia DR2 661170637096984960
JS394,2MASS J08335077+1946586,Gaia DR2 662861136225126016
JS405,2MASS J08361143+1952403,Gaia DR2 664352245791631488
JS432,2MASS J08391453+2001191,Gaia DR2 664320497393421952
JS513,2MASS J08402823+1856090,Gaia DR2 661185755383916160
JS533,2MASS J08324481+1802101,Gaia DR2 659571844111412224
JS545,2MASS J08424968+1851351,Gaia DR2 660986297100929792
JS552,2MASS J08481476+2233323,Gaia DR2 689130461877120256
JS582,2MASS J08371990+1903119,Gaia DR2 659749861915865216
JS620,2MASS J08373242+1931180,Gaia DR2 664281396011231744
JS649,2MASS J08401146+2004032,Gaia DR2 661325255921404288
KW569,2MASS J08423205+1835281,Gaia DR2 660928259206807808
AD 0738,2MASS J08433536+1900141,Gaia DR2 661011929465731456
AD 3411,2MASS J08361590+2007129,Gaia DR2 664366024046570112
JS 46,2MASS J08374982+1930508,Gaia DR2 661279042073291776
JS113,2MASS J08382772+1945556,Gaia DR2 664292322407994624
JS230,2MASS J08484913+2013271,Gaia DR2 661573608108602752
JS364,2MASS J08330845+2026372,Gaia DR2 663131856604384384
JS430,2MASS J08361429+1925303,Gaia DR2 662776439470251136
JS452,2MASS J08364895+1918593,Gaia DR2 659774394768991744
KW564,2MASS J08434473+1903588,Gaia DR2 661018835773136512
AD 1660,2MASS J08384393+1917383,Gaia DR2 661260144217277568
EPIC211998192,2MASS J08411052+1816070,Gaia DR2 659415129344636544
EPIC212011416,2MASS J08373505+2013265,Gaia DR2 664388357876585344
EPIC212127087,2MASS J08374912+1715180,Gaia DR2 659228074929597440
HSHJ300,2MASS J08393645+1929079,Gaia DR2 661270486498500352
JS119,2MASS J08403789+2020178,Gaia DR2 664429005446645376
JS148,2MASS J08410532+2028245,Gaia DR2 664437320503310336
JS174,2MASS J08432501+2033552,Gaia DR2 661460083533415040
JS187,2MASS J08372419+1925012,Gaia DR2 659777074828577024
JS200,2MASS J08430528+1927546,Gaia DR2 661231625634645504
JS232,2MASS J08483271+1656236,Gaia DR2 658276035297795328
JS246,2MASS J08305892+1841410,Gaia DR2 662665629314342272
JS415,2MASS J08361553+2041098,Gaia DR2 664605270904832768
JS468,2MASS J08252503+2013177,Gaia DR2 663805754152866688
JS488,2MASS J08415935+1944452,Gaia DR2 661347727189029504
JS505,2MASS J08473468+1908179,Gaia DR2 660328239391298176
JS541,2MASS J08461010+1931438,Gaia DR2 661150124333238656
JS550,2MASS J08402217+1807248,Gaia DR2 659388947224025856
JS689,2MASS J08312987+2024374,Gaia DR2 663140171661012480
