Name,BP-RP,absG
2MASS J08492676+1831195,2.0421000000000014,8.229420426056144
2MASS J08371261+2032414,1.8061000000000007,7.801027353423464
2MASS J08393715+1948580,1.9467999999999996,8.128961393638003
2MASS J08372845+2036286,2.1014999999999997,8.483850107901926
2MASS J08412417+1814026,2.1700999999999997,8.487944768148791
2MASS J08491651+2135121,2.7034000000000002,9.619516297028119
2MASS J08394656+1913041,1.9955999999999996,8.195205794929695
2MASS J08401982+1855382,2.480199999999998,8.731561265432953
2MASS J08435085+2021567,2.1083000000000016,8.559548940241436
2MASS J08395128+2034499,2.2798999999999996,8.783583226421333
2MASS J08445643+1822171,2.2256,8.672626310246262
2MASS J08393704+1747198,2.0412999999999997,8.365387460465053
2MASS J08405382+1922440,2.126099999999999,8.607152009622318
2MASS J08412446+2007495,2.6500000000000004,8.957863526880198
2MASS J08414388+1918082,2.0170999999999992,8.411035633818447
2MASS J08382537+1856300,2.597299999999999,9.13267688300581
2MASS J08452630+1947040,2.5755999999999997,9.108619777668727
2MASS J08335077+1946586,2.071999999999999,8.481609368616231
2MASS J08361143+1952403,2.022500000000001,8.451701134388442
2MASS J08391453+2001191,2.177100000000001,8.6781784618478
2MASS J08402823+1856090,2.119299999999999,8.665372671950866
2MASS J08324481+1802101,2.636800000000001,9.40637241162998
2MASS J08424968+1851351,2.2508999999999997,8.794286945018207
2MASS J08481476+2233323,2.189399999999999,8.738226504112394
2MASS J08371990+1903119,2.4833999999999996,9.007152966937463
2MASS J08373242+1931180,2.312800000000001,8.884080975465142
2MASS J08401146+2004032,2.7409,9.572572411629979
2MASS J08423205+1835281,2.202499999999999,8.792391844910997
2MASS J08433536+1900141,2.6736000000000004,9.393572411629979
2MASS J08361590+2007129,2.0679,8.529476454339944
2MASS J08374982+1930508,2.148200000000001,8.61812547800161
2MASS J08382772+1945556,2.290099999999999,8.716700525688372
2MASS J08484913+2013271,2.1945999999999977,8.787129956031102
2MASS J08330845+2026372,2.7494000000000014,9.67047241162998
2MASS J08361429+1925303,2.731399999999999,9.266256591146576
2MASS J08364895+1918593,2.430300000000001,9.109854835325109
2MASS J08434473+1903588,2.2051000000000016,8.873896248857283
2MASS J08384393+1917383,2.6613000000000007,9.568072411629979
2MASS J08411052+1816070,2.420799999999998,9.274370473119985
2MASS J08373505+2013265,2.1784,8.2171945132349
2MASS J08374912+1715180,1.9758999999999993,8.153588862856365
2MASS J08393645+1929079,1.905899999999999,8.081761306118967
2MASS J08403789+2020178,1.8940000000000001,7.969332158794332
2MASS J08410532+2028245,1.8957999999999995,7.99699803527427
2MASS J08432501+2033552,1.9217000000000013,8.05562254748774
2MASS J08372419+1925012,2.3451000000000004,8.609887594664725
2MASS J08430528+1927546,1.9779999999999998,8.215648640551496
2MASS J08483271+1656236,2.2232999999999983,8.458329281652142
2MASS J08305892+1841410,2.0061999999999998,8.331887255987295
2MASS J08361553+2041098,2.0637999999999987,8.388675858147149
2MASS J08252503+2013177,2.3687000000000005,9.022315424263601
2MASS J08415935+1944452,2.2561000000000018,8.861693734068528
2MASS J08473468+1908179,2.277700000000001,8.867156024504382
2MASS J08461010+1931438,1.9135999999999989,8.040444387172318
2MASS J08402217+1807248,2.0137,8.31744634090285
2MASS J08312987+2024374,2.028500000000001,7.660028943099526
